strategy,run,turns,seed,index,square,type,count,percentage
B,1,100000,11002431,0,GO,GO,2894,2.894000
B,1,100000,11002431,1,Mediterranean Avenue,Property,1928,1.928000
B,1,100000,11002431,2,Community Chest 1,Community Chest,1740,1.740000
B,1,100000,11002431,3,Baltic Avenue,Property,1944,1.944000
B,1,100000,11002431,4,Income Tax,Tax,2066,2.066000
B,1,100000,11002431,5,Reading Railroad,Railroad,2625,2.625000
B,1,100000,11002431,6,Oriental Avenue,Property,2062,2.062000
B,1,100000,11002431,7,Chance 1,Chance,760,0.760000
B,1,100000,11002431,8,Vermont Avenue,Property,2194,2.194000
B,1,100000,11002431,9,Connecticut Avenue,Property,2188,2.188000
B,1,100000,11002431,10,Jail / Just Visiting,Jail,13658,13.658000
B,1,100000,11002431,11,St. Charles Place,Property,2521,2.521000
B,1,100000,11002431,12,Electric Company,Utility,2541,2.541000
B,1,100000,11002431,13,States Avenue,Property,2153,2.153000
B,1,100000,11002431,14,Virginia Avenue,Property,2372,2.372000
B,1,100000,11002431,15,Pennsylvania Railroad,Railroad,2551,2.551000
B,1,100000,11002431,16,St. James Place,Property,2680,2.680000
B,1,100000,11002431,17,Community Chest 2,Community Chest,2260,2.260000
B,1,100000,11002431,18,Tennessee Avenue,Property,2844,2.844000
B,1,100000,11002431,19,New York Avenue,Property,2861,2.861000
B,1,100000,11002431,20,Free Parking,Free Parking,2937,2.937000
B,1,100000,11002431,21,Kentucky Avenue,Property,2548,2.548000
B,1,100000,11002431,22,Chance 2,Chance,1021,1.021000
B,1,100000,11002431,23,Indiana Avenue,Property,2451,2.451000
B,1,100000,11002431,24,Illinois Avenue,Property,2937,2.937000
B,1,100000,11002431,25,B. & O. Railroad,Railroad,2889,2.889000
B,1,100000,11002431,26,Atlantic Avenue,Property,2518,2.518000
B,1,100000,11002431,27,Ventnor Avenue,Property,2483,2.483000
B,1,100000,11002431,28,Water Works,Utility,2574,2.574000
B,1,100000,11002431,29,Marvin Gardens,Property,2347,2.347000
B,1,100000,11002431,30,Go to Jail,Go to Jail,0,0.000000
B,1,100000,11002431,31,Pacific Avenue,Property,2439,2.439000
B,1,100000,11002431,32,North Carolina Avenue,Property,2467,2.467000
B,1,100000,11002431,33,Community Chest 3,Community Chest,2091,2.091000
B,1,100000,11002431,34,Pennsylvania Avenue,Property,2326,2.326000
B,1,100000,11002431,35,Short Line,Railroad,2155,2.155000
B,1,100000,11002431,36,Chance 3,Chance,764,0.764000
B,1,100000,11002431,37,Park Place,Property,1867,1.867000
B,1,100000,11002431,38,Luxury Tax,Tax,2035,2.035000
B,1,100000,11002431,39,Boardwalk,Property,2309,2.309000
