strategy,run,turns,seed,index,square,type,count,percentage
B,8,10000,10102438,0,GO,GO,275,2.750000
B,8,10000,10102438,1,Mediterranean Avenue,Property,163,1.630000
B,8,10000,10102438,2,Community Chest 1,Community Chest,194,1.940000
B,8,10000,10102438,3,Baltic Avenue,Property,192,1.920000
B,8,10000,10102438,4,Income Tax,Tax,214,2.140000
B,8,10000,10102438,5,Reading Railroad,Railroad,264,2.640000
B,8,10000,10102438,6,Oriental Avenue,Property,221,2.210000
B,8,10000,10102438,7,Chance 1,Chance,75,0.750000
B,8,10000,10102438,8,Vermont Avenue,Property,229,2.290000
B,8,10000,10102438,9,Connecticut Avenue,Property,194,1.940000
B,8,10000,10102438,10,Jail / Just Visiting,Jail,1423,14.230000
B,8,10000,10102438,11,St. Charles Place,Property,246,2.460000
B,8,10000,10102438,12,Electric Company,Utility,268,2.680000
B,8,10000,10102438,13,States Avenue,Property,190,1.900000
B,8,10000,10102438,14,Virginia Avenue,Property,252,2.520000
B,8,10000,10102438,15,Pennsylvania Railroad,Railroad,290,2.900000
B,8,10000,10102438,16,St. James Place,Property,249,2.490000
B,8,10000,10102438,17,Community Chest 2,Community Chest,240,2.400000
B,8,10000,10102438,18,Tennessee Avenue,Property,271,2.710000
B,8,10000,10102438,19,New York Avenue,Property,249,2.490000
B,8,10000,10102438,20,Free Parking,Free Parking,284,2.840000
B,8,10000,10102438,21,Kentucky Avenue,Property,260,2.600000
B,8,10000,10102438,22,Chance 2,Chance,104,1.040000
B,8,10000,10102438,23,Indiana Avenue,Property,273,2.730000
B,8,10000,10102438,24,Illinois Avenue,Property,298,2.980000
B,8,10000,10102438,25,B. & O. Railroad,Railroad,289,2.890000
B,8,10000,10102438,26,Atlantic Avenue,Property,228,2.280000
B,8,10000,10102438,27,Ventnor Avenue,Property,234,2.340000
B,8,10000,10102438,28,Water Works,Utility,239,2.390000
B,8,10000,10102438,29,Marvin Gardens,Property,204,2.040000
B,8,10000,10102438,30,Go to Jail,Go to Jail,0,0.000000
B,8,10000,10102438,31,Pacific Avenue,Property,240,2.400000
B,8,10000,10102438,32,North Carolina Avenue,Property,230,2.300000
B,8,10000,10102438,33,Community Chest 3,Community Chest,232,2.320000
B,8,10000,10102438,34,Pennsylvania Avenue,Property,262,2.620000
B,8,10000,10102438,35,Short Line,Railroad,223,2.230000
B,8,10000,10102438,36,Chance 3,Chance,74,0.740000
B,8,10000,10102438,37,Park Place,Property,186,1.860000
B,8,10000,10102438,38,Luxury Tax,Tax,195,1.950000
B,8,10000,10102438,39,Boardwalk,Property,246,2.460000
