strategy,run,turns,seed,index,square,type,count,percentage
B,3,100000,11002433,0,GO,GO,2881,2.881000
B,3,100000,11002433,1,Mediterranean Avenue,Property,1998,1.998000
B,3,100000,11002433,2,Community Chest 1,Community Chest,1749,1.749000
B,3,100000,11002433,3,Baltic Avenue,Property,1928,1.928000
B,3,100000,11002433,4,Income Tax,Tax,2106,2.106000
B,3,100000,11002433,5,Reading Railroad,Railroad,2633,2.633000
B,3,100000,11002433,6,Oriental Avenue,Property,2114,2.114000
B,3,100000,11002433,7,Chance 1,Chance,792,0.792000
B,3,100000,11002433,8,Vermont Avenue,Property,2226,2.226000
B,3,100000,11002433,9,Connecticut Avenue,Property,2216,2.216000
B,3,100000,11002433,10,Jail / Just Visiting,Jail,13418,13.418000
B,3,100000,11002433,11,St. Charles Place,Property,2476,2.476000
B,3,100000,11002433,12,Electric Company,Utility,2622,2.622000
B,3,100000,11002433,13,States Avenue,Property,2111,2.111000
B,3,100000,11002433,14,Virginia Avenue,Property,2414,2.414000
B,3,100000,11002433,15,Pennsylvania Railroad,Railroad,2579,2.579000
B,3,100000,11002433,16,St. James Place,Property,2725,2.725000
B,3,100000,11002433,17,Community Chest 2,Community Chest,2323,2.323000
B,3,100000,11002433,18,Tennessee Avenue,Property,2777,2.777000
B,3,100000,11002433,19,New York Avenue,Property,2833,2.833000
B,3,100000,11002433,20,Free Parking,Free Parking,2818,2.818000
B,3,100000,11002433,21,Kentucky Avenue,Property,2587,2.587000
B,3,100000,11002433,22,Chance 2,Chance,950,0.950000
B,3,100000,11002433,23,Indiana Avenue,Property,2506,2.506000
B,3,100000,11002433,24,Illinois Avenue,Property,2935,2.935000
B,3,100000,11002433,25,B. & O. Railroad,Railroad,2779,2.779000
B,3,100000,11002433,26,Atlantic Avenue,Property,2455,2.455000
B,3,100000,11002433,27,Ventnor Avenue,Property,2436,2.436000
B,3,100000,11002433,28,Water Works,Utility,2667,2.667000
B,3,100000,11002433,29,Marvin Gardens,Property,2298,2.298000
B,3,100000,11002433,30,Go to Jail,Go to Jail,0,0.000000
B,3,100000,11002433,31,Pacific Avenue,Property,2395,2.395000
B,3,100000,11002433,32,North Carolina Avenue,Property,2472,2.472000
B,3,100000,11002433,33,Community Chest 3,Community Chest,2105,2.105000
B,3,100000,11002433,34,Pennsylvania Avenue,Property,2356,2.356000
B,3,100000,11002433,35,Short Line,Railroad,2226,2.226000
B,3,100000,11002433,36,Chance 3,Chance,801,0.801000
B,3,100000,11002433,37,Park Place,Property,1941,1.941000
B,3,100000,11002433,38,Luxury Tax,Tax,1973,1.973000
B,3,100000,11002433,39,Boardwalk,Property,2379,2.379000
