strategy,run,turns,seed,index,square,type,count,percentage
B,5,1000,10012435,0,GO,GO,28,2.800000
B,5,1000,10012435,1,Mediterranean Avenue,Property,19,1.900000
B,5,1000,10012435,2,Community Chest 1,Community Chest,13,1.300000
B,5,1000,10012435,3,Baltic Avenue,Property,22,2.200000
B,5,1000,10012435,4,Income Tax,Tax,21,2.100000
B,5,1000,10012435,5,Reading Railroad,Railroad,26,2.600000
B,5,1000,10012435,6,Oriental Avenue,Property,27,2.700000
B,5,1000,10012435,7,Chance 1,Chance,10,1.000000
B,5,1000,10012435,8,Vermont Avenue,Property,25,2.500000
B,5,1000,10012435,9,Connecticut Avenue,Property,27,2.700000
B,5,1000,10012435,10,Jail / Just Visiting,Jail,138,13.800000
B,5,1000,10012435,11,St. Charles Place,Property,23,2.300000
B,5,1000,10012435,12,Electric Company,Utility,23,2.300000
B,5,1000,10012435,13,States Avenue,Property,21,2.100000
B,5,1000,10012435,14,Virginia Avenue,Property,23,2.300000
B,5,1000,10012435,15,Pennsylvania Railroad,Railroad,31,3.100000
B,5,1000,10012435,16,St. James Place,Property,27,2.700000
B,5,1000,10012435,17,Community Chest 2,Community Chest,26,2.600000
B,5,1000,10012435,18,Tennessee Avenue,Property,22,2.200000
B,5,1000,10012435,19,New York Avenue,Property,20,2.000000
B,5,1000,10012435,20,Free Parking,Free Parking,33,3.300000
B,5,1000,10012435,21,Kentucky Avenue,Property,18,1.800000
B,5,1000,10012435,22,Chance 2,Chance,11,1.100000
B,5,1000,10012435,23,Indiana Avenue,Property,27,2.700000
B,5,1000,10012435,24,Illinois Avenue,Property,30,3.000000
B,5,1000,10012435,25,B. & O. Railroad,Railroad,20,2.000000
B,5,1000,10012435,26,Atlantic Avenue,Property,30,3.000000
B,5,1000,10012435,27,Ventnor Avenue,Property,17,1.700000
B,5,1000,10012435,28,Water Works,Utility,28,2.800000
B,5,1000,10012435,29,Marvin Gardens,Property,23,2.300000
B,5,1000,10012435,30,Go to Jail,Go to Jail,0,0.000000
B,5,1000,10012435,31,Pacific Avenue,Property,23,2.300000
B,5,1000,10012435,32,North Carolina Avenue,Property,24,2.400000
B,5,1000,10012435,33,Community Chest 3,Community Chest,26,2.600000
B,5,1000,10012435,34,Pennsylvania Avenue,Property,27,2.700000
B,5,1000,10012435,35,Short Line,Railroad,14,1.400000
B,5,1000,10012435,36,Chance 3,Chance,5,0.500000
B,5,1000,10012435,37,Park Place,Property,21,2.100000
B,5,1000,10012435,38,Luxury Tax,Tax,25,2.500000
B,5,1000,10012435,39,Boardwalk,Property,26,2.600000
