strategy,run,turns,seed,index,square,type,count,percentage
B,2,100,10003432,0,GO,GO,4,4.000000
B,2,100,10003432,1,Mediterranean Avenue,Property,0,0.000000
B,2,100,10003432,2,Community Chest 1,Community Chest,5,5.000000
B,2,100,10003432,3,Baltic Avenue,Property,1,1.000000
B,2,100,10003432,4,Income Tax,Tax,0,0.000000
B,2,100,10003432,5,Reading Railroad,Railroad,4,4.000000
B,2,100,10003432,6,Oriental Avenue,Property,0,0.000000
B,2,100,10003432,7,Chance 1,Chance,2,2.000000
B,2,100,10003432,8,Vermont Avenue,Property,2,2.000000
B,2,100,10003432,9,Connecticut Avenue,Property,3,3.000000
B,2,100,10003432,10,Jail / Just Visiting,Jail,15,15.000000
B,2,100,10003432,11,St. Charles Place,Property,0,0.000000
B,2,100,10003432,12,Electric Company,Utility,2,2.000000
B,2,100,10003432,13,States Avenue,Property,4,4.000000
B,2,100,10003432,14,Virginia Avenue,Property,0,0.000000
B,2,100,10003432,15,Pennsylvania Railroad,Railroad,1,1.000000
B,2,100,10003432,16,St. James Place,Property,4,4.000000
B,2,100,10003432,17,Community Chest 2,Community Chest,1,1.000000
B,2,100,10003432,18,Tennessee Avenue,Property,3,3.000000
B,2,100,10003432,19,New York Avenue,Property,0,0.000000
B,2,100,10003432,20,Free Parking,Free Parking,5,5.000000
B,2,100,10003432,21,Kentucky Avenue,Property,3,3.000000
B,2,100,10003432,22,Chance 2,Chance,0,0.000000
B,2,100,10003432,23,Indiana Avenue,Property,4,4.000000
B,2,100,10003432,24,Illinois Avenue,Property,4,4.000000
B,2,100,10003432,25,B. & O. Railroad,Railroad,3,3.000000
B,2,100,10003432,26,Atlantic Avenue,Property,2,2.000000
B,2,100,10003432,27,Ventnor Avenue,Property,3,3.000000
B,2,100,10003432,28,Water Works,Utility,3,3.000000
B,2,100,10003432,29,Marvin Gardens,Property,2,2.000000
B,2,100,10003432,30,Go to Jail,Go to Jail,0,0.000000
B,2,100,10003432,31,Pacific Avenue,Property,5,5.000000
B,2,100,10003432,32,North Carolina Avenue,Property,2,2.000000
B,2,100,10003432,33,Community Chest 3,Community Chest,4,4.000000
B,2,100,10003432,34,Pennsylvania Avenue,Property,0,0.000000
B,2,100,10003432,35,Short Line,Railroad,3,3.000000
B,2,100,10003432,36,Chance 3,Chance,1,1.000000
B,2,100,10003432,37,Park Place,Property,4,4.000000
B,2,100,10003432,38,Luxury Tax,Tax,0,0.000000
B,2,100,10003432,39,Boardwalk,Property,1,1.000000
