strategy,run,turns,seed,index,square,type,count,percentage
B,1,100,10003431,0,GO,GO,2,2.000000
B,1,100,10003431,1,Mediterranean Avenue,Property,1,1.000000
B,1,100,10003431,2,Community Chest 1,Community Chest,2,2.000000
B,1,100,10003431,3,Baltic Avenue,Property,3,3.000000
B,1,100,10003431,4,Income Tax,Tax,1,1.000000
B,1,100,10003431,5,Reading Railroad,Railroad,2,2.000000
B,1,100,10003431,6,Oriental Avenue,Property,3,3.000000
B,1,100,10003431,7,Chance 1,Chance,0,0.000000
B,1,100,10003431,8,Vermont Avenue,Property,2,2.000000
B,1,100,10003431,9,Connecticut Avenue,Property,1,1.000000
B,1,100,10003431,10,Jail / Just Visiting,Jail,15,15.000000
B,1,100,10003431,11,St. Charles Place,Property,2,2.000000
B,1,100,10003431,12,Electric Company,Utility,2,2.000000
B,1,100,10003431,13,States Avenue,Property,3,3.000000
B,1,100,10003431,14,Virginia Avenue,Property,3,3.000000
B,1,100,10003431,15,Pennsylvania Railroad,Railroad,3,3.000000
B,1,100,10003431,16,St. James Place,Property,3,3.000000
B,1,100,10003431,17,Community Chest 2,Community Chest,2,2.000000
B,1,100,10003431,18,Tennessee Avenue,Property,0,0.000000
B,1,100,10003431,19,New York Avenue,Property,4,4.000000
B,1,100,10003431,20,Free Parking,Free Parking,6,6.000000
B,1,100,10003431,21,Kentucky Avenue,Property,3,3.000000
B,1,100,10003431,22,Chance 2,Chance,0,0.000000
B,1,100,10003431,23,Indiana Avenue,Property,2,2.000000
B,1,100,10003431,24,Illinois Avenue,Property,5,5.000000
B,1,100,10003431,25,B. & O. Railroad,Railroad,4,4.000000
B,1,100,10003431,26,Atlantic Avenue,Property,4,4.000000
B,1,100,10003431,27,Ventnor Avenue,Property,2,2.000000
B,1,100,10003431,28,Water Works,Utility,0,0.000000
B,1,100,10003431,29,Marvin Gardens,Property,3,3.000000
B,1,100,10003431,30,Go to Jail,Go to Jail,0,0.000000
B,1,100,10003431,31,Pacific Avenue,Property,4,4.000000
B,1,100,10003431,32,North Carolina Avenue,Property,2,2.000000
B,1,100,10003431,33,Community Chest 3,Community Chest,1,1.000000
B,1,100,10003431,34,Pennsylvania Avenue,Property,0,0.000000
B,1,100,10003431,35,Short Line,Railroad,3,3.000000
B,1,100,10003431,36,Chance 3,Chance,1,1.000000
B,1,100,10003431,37,Park Place,Property,2,2.000000
B,1,100,10003431,38,Luxury Tax,Tax,3,3.000000
B,1,100,10003431,39,Boardwalk,Property,1,1.000000
