strategy,run,turns,seed,index,square,type,count,percentage
A,4,1000000,10002434,0,GO,GO,31178,3.117800
A,4,1000000,10002434,1,Mediterranean Avenue,Property,20329,2.032900
A,4,1000000,10002434,2,Community Chest 1,Community Chest,18824,1.882400
A,4,1000000,10002434,3,Baltic Avenue,Property,20711,2.071100
A,4,1000000,10002434,4,Income Tax,Tax,22901,2.290100
A,4,1000000,10002434,5,Reading Railroad,Railroad,29100,2.910000
A,4,1000000,10002434,6,Oriental Avenue,Property,22641,2.264100
A,4,1000000,10002434,7,Chance 1,Chance,8385,0.838500
A,4,1000000,10002434,8,Vermont Avenue,Property,23208,2.320800
A,4,1000000,10002434,9,Connecticut Avenue,Property,22969,2.296900
A,4,1000000,10002434,10,Jail / Just Visiting,Jail,68838,6.883800
A,4,1000000,10002434,11,St. Charles Place,Property,26811,2.681100
A,4,1000000,10002434,12,Electric Company,Utility,25323,2.532300
A,4,1000000,10002434,13,States Avenue,Property,24030,2.403000
A,4,1000000,10002434,14,Virginia Avenue,Property,24689,2.468900
A,4,1000000,10002434,15,Pennsylvania Railroad,Railroad,29562,2.956200
A,4,1000000,10002434,16,St. James Place,Property,28228,2.822800
A,4,1000000,10002434,17,Community Chest 2,Community Chest,26432,2.643200
A,4,1000000,10002434,18,Tennessee Avenue,Property,29910,2.991000
A,4,1000000,10002434,19,New York Avenue,Property,31700,3.170000
A,4,1000000,10002434,20,Free Parking,Free Parking,29135,2.913500
A,4,1000000,10002434,21,Kentucky Avenue,Property,28506,2.850600
A,4,1000000,10002434,22,Chance 2,Chance,10206,1.020600
A,4,1000000,10002434,23,Indiana Avenue,Property,26938,2.693800
A,4,1000000,10002434,24,Illinois Avenue,Property,32019,3.201900
A,4,1000000,10002434,25,B. & O. Railroad,Railroad,30368,3.036800
A,4,1000000,10002434,26,Atlantic Avenue,Property,26959,2.695900
A,4,1000000,10002434,27,Ventnor Avenue,Property,26027,2.602700
A,4,1000000,10002434,28,Water Works,Utility,27685,2.768500
A,4,1000000,10002434,29,Marvin Gardens,Property,24713,2.471300
A,4,1000000,10002434,30,Go to Jail,Go to Jail,0,0.000000
A,4,1000000,10002434,31,Pacific Avenue,Property,26179,2.617900
A,4,1000000,10002434,32,North Carolina Avenue,Property,26944,2.694400
A,4,1000000,10002434,33,Community Chest 3,Community Chest,22956,2.295600
A,4,1000000,10002434,34,Pennsylvania Avenue,Property,25481,2.548100
A,4,1000000,10002434,35,Short Line,Railroad,23414,2.341400
A,4,1000000,10002434,36,Chance 3,Chance,8418,0.841800
A,4,1000000,10002434,37,Park Place,Property,20851,2.085100
A,4,1000000,10002434,38,Luxury Tax,Tax,22043,2.204300
A,4,1000000,10002434,39,Boardwalk,Property,25389,2.538900
