strategy,run,turns,seed,index,square,type,count,percentage
A,7,100000,1002437,0,GO,GO,3050,3.050000
A,7,100000,1002437,1,Mediterranean Avenue,Property,2093,2.093000
A,7,100000,1002437,2,Community Chest 1,Community Chest,1907,1.907000
A,7,100000,1002437,3,Baltic Avenue,Property,2071,2.071000
A,7,100000,1002437,4,Income Tax,Tax,2329,2.329000
A,7,100000,1002437,5,Reading Railroad,Railroad,2952,2.952000
A,7,100000,1002437,6,Oriental Avenue,Property,2264,2.264000
A,7,100000,1002437,7,Chance 1,Chance,771,0.771000
A,7,100000,1002437,8,Vermont Avenue,Property,2311,2.311000
A,7,100000,1002437,9,Connecticut Avenue,Property,2380,2.380000
A,7,100000,1002437,10,Jail / Just Visiting,Jail,6859,6.859000
A,7,100000,1002437,11,St. Charles Place,Property,2657,2.657000
A,7,100000,1002437,12,Electric Company,Utility,2639,2.639000
A,7,100000,1002437,13,States Avenue,Property,2381,2.381000
A,7,100000,1002437,14,Virginia Avenue,Property,2416,2.416000
A,7,100000,1002437,15,Pennsylvania Railroad,Railroad,2910,2.910000
A,7,100000,1002437,16,St. James Place,Property,2794,2.794000
A,7,100000,1002437,17,Community Chest 2,Community Chest,2667,2.667000
A,7,100000,1002437,18,Tennessee Avenue,Property,3032,3.032000
A,7,100000,1002437,19,New York Avenue,Property,3182,3.182000
A,7,100000,1002437,20,Free Parking,Free Parking,2886,2.886000
A,7,100000,1002437,21,Kentucky Avenue,Property,2760,2.760000
A,7,100000,1002437,22,Chance 2,Chance,1040,1.040000
A,7,100000,1002437,23,Indiana Avenue,Property,2664,2.664000
A,7,100000,1002437,24,Illinois Avenue,Property,3287,3.287000
A,7,100000,1002437,25,B. & O. Railroad,Railroad,2937,2.937000
A,7,100000,1002437,26,Atlantic Avenue,Property,2663,2.663000
A,7,100000,1002437,27,Ventnor Avenue,Property,2551,2.551000
A,7,100000,1002437,28,Water Works,Utility,2837,2.837000
A,7,100000,1002437,29,Marvin Gardens,Property,2532,2.532000
A,7,100000,1002437,30,Go to Jail,Go to Jail,0,0.000000
A,7,100000,1002437,31,Pacific Avenue,Property,2601,2.601000
A,7,100000,1002437,32,North Carolina Avenue,Property,2642,2.642000
A,7,100000,1002437,33,Community Chest 3,Community Chest,2322,2.322000
A,7,100000,1002437,34,Pennsylvania Avenue,Property,2513,2.513000
A,7,100000,1002437,35,Short Line,Railroad,2423,2.423000
A,7,100000,1002437,36,Chance 3,Chance,866,0.866000
A,7,100000,1002437,37,Park Place,Property,2048,2.048000
A,7,100000,1002437,38,Luxury Tax,Tax,2171,2.171000
A,7,100000,1002437,39,Boardwalk,Property,2592,2.592000
