strategy,run,turns,seed,index,square,type,count,percentage
A,7,1000,12437,0,GO,GO,26,2.600000
A,7,1000,12437,1,Mediterranean Avenue,Property,23,2.300000
A,7,1000,12437,2,Community Chest 1,Community Chest,18,1.800000
A,7,1000,12437,3,Baltic Avenue,Property,28,2.800000
A,7,1000,12437,4,Income Tax,Tax,21,2.100000
A,7,1000,12437,5,Reading Railroad,Railroad,29,2.900000
A,7,1000,12437,6,Oriental Avenue,Property,26,2.600000
A,7,1000,12437,7,Chance 1,Chance,6,0.600000
A,7,1000,12437,8,Vermont Avenue,Property,22,2.200000
A,7,1000,12437,9,Connecticut Avenue,Property,31,3.100000
A,7,1000,12437,10,Jail / Just Visiting,Jail,69,6.900000
A,7,1000,12437,11,St. Charles Place,Property,25,2.500000
A,7,1000,12437,12,Electric Company,Utility,27,2.700000
A,7,1000,12437,13,States Avenue,Property,22,2.200000
A,7,1000,12437,14,Virginia Avenue,Property,17,1.700000
A,7,1000,12437,15,Pennsylvania Railroad,Railroad,27,2.700000
A,7,1000,12437,16,St. James Place,Property,36,3.600000
A,7,1000,12437,17,Community Chest 2,Community Chest,31,3.100000
A,7,1000,12437,18,Tennessee Avenue,Property,29,2.900000
A,7,1000,12437,19,New York Avenue,Property,25,2.500000
A,7,1000,12437,20,Free Parking,Free Parking,29,2.900000
A,7,1000,12437,21,Kentucky Avenue,Property,24,2.400000
A,7,1000,12437,22,Chance 2,Chance,8,0.800000
A,7,1000,12437,23,Indiana Avenue,Property,22,2.200000
A,7,1000,12437,24,Illinois Avenue,Property,29,2.900000
A,7,1000,12437,25,B. & O. Railroad,Railroad,32,3.200000
A,7,1000,12437,26,Atlantic Avenue,Property,37,3.700000
A,7,1000,12437,27,Ventnor Avenue,Property,28,2.800000
A,7,1000,12437,28,Water Works,Utility,28,2.800000
A,7,1000,12437,29,Marvin Gardens,Property,17,1.700000
A,7,1000,12437,30,Go to Jail,Go to Jail,0,0.000000
A,7,1000,12437,31,Pacific Avenue,Property,28,2.800000
A,7,1000,12437,32,North Carolina Avenue,Property,22,2.200000
A,7,1000,12437,33,Community Chest 3,Community Chest,30,3.000000
A,7,1000,12437,34,Pennsylvania Avenue,Property,22,2.200000
A,7,1000,12437,35,Short Line,Railroad,21,2.100000
A,7,1000,12437,36,Chance 3,Chance,7,0.700000
A,7,1000,12437,37,Park Place,Property,29,2.900000
A,7,1000,12437,38,Luxury Tax,Tax,27,2.700000
A,7,1000,12437,39,Boardwalk,Property,22,2.200000
