strategy,run,turns,seed,index,square,type,count,percentage
A,8,100,3438,0,GO,GO,5,5.000000
A,8,100,3438,1,Mediterranean Avenue,Property,2,2.000000
A,8,100,3438,2,Community Chest 1,Community Chest,1,1.000000
A,8,100,3438,3,Baltic Avenue,Property,3,3.000000
A,8,100,3438,4,Income Tax,Tax,0,0.000000
A,8,100,3438,5,Reading Railroad,Railroad,2,2.000000
A,8,100,3438,6,Oriental Avenue,Property,5,5.000000
A,8,100,3438,7,Chance 1,Chance,2,2.000000
A,8,100,3438,8,Vermont Avenue,Property,0,0.000000
A,8,100,3438,9,Connecticut Avenue,Property,3,3.000000
A,8,100,3438,10,Jail / Just Visiting,Jail,4,4.000000
A,8,100,3438,11,St. Charles Place,Property,4,4.000000
A,8,100,3438,12,Electric Company,Utility,1,1.000000
A,8,100,3438,13,States Avenue,Property,0,0.000000
A,8,100,3438,14,Virginia Avenue,Property,4,4.000000
A,8,100,3438,15,Pennsylvania Railroad,Railroad,3,3.000000
A,8,100,3438,16,St. James Place,Property,4,4.000000
A,8,100,3438,17,Community Chest 2,Community Chest,4,4.000000
A,8,100,3438,18,Tennessee Avenue,Property,3,3.000000
A,8,100,3438,19,New York Avenue,Property,3,3.000000
A,8,100,3438,20,Free Parking,Free Parking,3,3.000000
A,8,100,3438,21,Kentucky Avenue,Property,1,1.000000
A,8,100,3438,22,Chance 2,Chance,2,2.000000
A,8,100,3438,23,Indiana Avenue,Property,3,3.000000
A,8,100,3438,24,Illinois Avenue,Property,5,5.000000
A,8,100,3438,25,B. & O. Railroad,Railroad,1,1.000000
A,8,100,3438,26,Atlantic Avenue,Property,2,2.000000
A,8,100,3438,27,Ventnor Avenue,Property,3,3.000000
A,8,100,3438,28,Water Works,Utility,3,3.000000
A,8,100,3438,29,Marvin Gardens,Property,2,2.000000
A,8,100,3438,30,Go to Jail,Go to Jail,0,0.000000
A,8,100,3438,31,Pacific Avenue,Property,4,4.000000
A,8,100,3438,32,North Carolina Avenue,Property,2,2.000000
A,8,100,3438,33,Community Chest 3,Community Chest,4,4.000000
A,8,100,3438,34,Pennsylvania Avenue,Property,2,2.000000
A,8,100,3438,35,Short Line,Railroad,4,4.000000
A,8,100,3438,36,Chance 3,Chance,1,1.000000
A,8,100,3438,37,Park Place,Property,0,0.000000
A,8,100,3438,38,Luxury Tax,Tax,1,1.000000
A,8,100,3438,39,Boardwalk,Property,4,4.000000
