strategy,run,turns,seed,index,square,type,count,percentage
B,2,1000,10012432,0,GO,GO,29,2.900000
B,2,1000,10012432,1,Mediterranean Avenue,Property,29,2.900000
B,2,1000,10012432,2,Community Chest 1,Community Chest,16,1.600000
B,2,1000,10012432,3,Baltic Avenue,Property,14,1.400000
B,2,1000,10012432,4,Income Tax,Tax,22,2.200000
B,2,1000,10012432,5,Reading Railroad,Railroad,26,2.600000
B,2,1000,10012432,6,Oriental Avenue,Property,23,2.300000
B,2,1000,10012432,7,Chance 1,Chance,10,1.000000
B,2,1000,10012432,8,Vermont Avenue,Property,15,1.500000
B,2,1000,10012432,9,Connecticut Avenue,Property,19,1.900000
B,2,1000,10012432,10,Jail / Just Visiting,Jail,132,13.200000
B,2,1000,10012432,11,St. Charles Place,Property,34,3.400000
B,2,1000,10012432,12,Electric Company,Utility,24,2.400000
B,2,1000,10012432,13,States Avenue,Property,20,2.000000
B,2,1000,10012432,14,Virginia Avenue,Property,22,2.200000
B,2,1000,10012432,15,Pennsylvania Railroad,Railroad,23,2.300000
B,2,1000,10012432,16,St. James Place,Property,32,3.200000
B,2,1000,10012432,17,Community Chest 2,Community Chest,26,2.600000
B,2,1000,10012432,18,Tennessee Avenue,Property,29,2.900000
B,2,1000,10012432,19,New York Avenue,Property,35,3.500000
B,2,1000,10012432,20,Free Parking,Free Parking,18,1.800000
B,2,1000,10012432,21,Kentucky Avenue,Property,26,2.600000
B,2,1000,10012432,22,Chance 2,Chance,9,0.900000
B,2,1000,10012432,23,Indiana Avenue,Property,25,2.500000
B,2,1000,10012432,24,Illinois Avenue,Property,28,2.800000
B,2,1000,10012432,25,B. & O. Railroad,Railroad,22,2.200000
B,2,1000,10012432,26,Atlantic Avenue,Property,22,2.200000
B,2,1000,10012432,27,Ventnor Avenue,Property,33,3.300000
B,2,1000,10012432,28,Water Works,Utility,20,2.000000
B,2,1000,10012432,29,Marvin Gardens,Property,26,2.600000
B,2,1000,10012432,30,Go to Jail,Go to Jail,0,0.000000
B,2,1000,10012432,31,Pacific Avenue,Property,20,2.000000
B,2,1000,10012432,32,North Carolina Avenue,Property,32,3.200000
B,2,1000,10012432,33,Community Chest 3,Community Chest,26,2.600000
B,2,1000,10012432,34,Pennsylvania Avenue,Property,19,1.900000
B,2,1000,10012432,35,Short Line,Railroad,13,1.300000
B,2,1000,10012432,36,Chance 3,Chance,8,0.800000
B,2,1000,10012432,37,Park Place,Property,23,2.300000
B,2,1000,10012432,38,Luxury Tax,Tax,26,2.600000
B,2,1000,10012432,39,Boardwalk,Property,24,2.400000
