strategy,run,turns,seed,index,square,type,count,percentage
A,2,100000,1002432,0,GO,GO,3161,3.161000
A,2,100000,1002432,1,Mediterranean Avenue,Property,2044,2.044000
A,2,100000,1002432,2,Community Chest 1,Community Chest,1852,1.852000
A,2,100000,1002432,3,Baltic Avenue,Property,1998,1.998000
A,2,100000,1002432,4,Income Tax,Tax,2305,2.305000
A,2,100000,1002432,5,Reading Railroad,Railroad,2924,2.924000
A,2,100000,1002432,6,Oriental Avenue,Property,2319,2.319000
A,2,100000,1002432,7,Chance 1,Chance,836,0.836000
A,2,100000,1002432,8,Vermont Avenue,Property,2267,2.267000
A,2,100000,1002432,9,Connecticut Avenue,Property,2347,2.347000
A,2,100000,1002432,10,Jail / Just Visiting,Jail,6805,6.805000
A,2,100000,1002432,11,St. Charles Place,Property,2708,2.708000
A,2,100000,1002432,12,Electric Company,Utility,2528,2.528000
A,2,100000,1002432,13,States Avenue,Property,2371,2.371000
A,2,100000,1002432,14,Virginia Avenue,Property,2456,2.456000
A,2,100000,1002432,15,Pennsylvania Railroad,Railroad,2948,2.948000
A,2,100000,1002432,16,St. James Place,Property,2822,2.822000
A,2,100000,1002432,17,Community Chest 2,Community Chest,2635,2.635000
A,2,100000,1002432,18,Tennessee Avenue,Property,3030,3.030000
A,2,100000,1002432,19,New York Avenue,Property,3110,3.110000
A,2,100000,1002432,20,Free Parking,Free Parking,2937,2.937000
A,2,100000,1002432,21,Kentucky Avenue,Property,2863,2.863000
A,2,100000,1002432,22,Chance 2,Chance,1021,1.021000
A,2,100000,1002432,23,Indiana Avenue,Property,2693,2.693000
A,2,100000,1002432,24,Illinois Avenue,Property,3218,3.218000
A,2,100000,1002432,25,B. & O. Railroad,Railroad,2975,2.975000
A,2,100000,1002432,26,Atlantic Avenue,Property,2720,2.720000
A,2,100000,1002432,27,Ventnor Avenue,Property,2541,2.541000
A,2,100000,1002432,28,Water Works,Utility,2870,2.870000
A,2,100000,1002432,29,Marvin Gardens,Property,2551,2.551000
A,2,100000,1002432,30,Go to Jail,Go to Jail,0,0.000000
A,2,100000,1002432,31,Pacific Avenue,Property,2610,2.610000
A,2,100000,1002432,32,North Carolina Avenue,Property,2663,2.663000
A,2,100000,1002432,33,Community Chest 3,Community Chest,2301,2.301000
A,2,100000,1002432,34,Pennsylvania Avenue,Property,2557,2.557000
A,2,100000,1002432,35,Short Line,Railroad,2343,2.343000
A,2,100000,1002432,36,Chance 3,Chance,836,0.836000
A,2,100000,1002432,37,Park Place,Property,2077,2.077000
A,2,100000,1002432,38,Luxury Tax,Tax,2240,2.240000
A,2,100000,1002432,39,Boardwalk,Property,2518,2.518000
