strategy,run,turns,seed,index,square,type,count,percentage
A,3,1000000,10002433,0,GO,GO,31262,3.126200
A,3,1000000,10002433,1,Mediterranean Avenue,Property,20312,2.031200
A,3,1000000,10002433,2,Community Chest 1,Community Chest,19241,1.924100
A,3,1000000,10002433,3,Baltic Avenue,Property,20893,2.089300
A,3,1000000,10002433,4,Income Tax,Tax,22662,2.266200
A,3,1000000,10002433,5,Reading Railroad,Railroad,29154,2.915400
A,3,1000000,10002433,6,Oriental Avenue,Property,22549,2.254900
A,3,1000000,10002433,7,Chance 1,Chance,8366,0.836600
A,3,1000000,10002433,8,Vermont Avenue,Property,23205,2.320500
A,3,1000000,10002433,9,Connecticut Avenue,Property,22908,2.290800
A,3,1000000,10002433,10,Jail / Just Visiting,Jail,68813,6.881300
A,3,1000000,10002433,11,St. Charles Place,Property,26634,2.663400
A,3,1000000,10002433,12,Electric Company,Utility,25958,2.595800
A,3,1000000,10002433,13,States Avenue,Property,23523,2.352300
A,3,1000000,10002433,14,Virginia Avenue,Property,24700,2.470000
A,3,1000000,10002433,15,Pennsylvania Railroad,Railroad,29786,2.978600
A,3,1000000,10002433,16,St. James Place,Property,28269,2.826900
A,3,1000000,10002433,17,Community Chest 2,Community Chest,26532,2.653200
A,3,1000000,10002433,18,Tennessee Avenue,Property,29825,2.982500
A,3,1000000,10002433,19,New York Avenue,Property,31761,3.176100
A,3,1000000,10002433,20,Free Parking,Free Parking,29369,2.936900
A,3,1000000,10002433,21,Kentucky Avenue,Property,28073,2.807300
A,3,1000000,10002433,22,Chance 2,Chance,10354,1.035400
A,3,1000000,10002433,23,Indiana Avenue,Property,26931,2.693100
A,3,1000000,10002433,24,Illinois Avenue,Property,31986,3.198600
A,3,1000000,10002433,25,B. & O. Railroad,Railroad,30050,3.005000
A,3,1000000,10002433,26,Atlantic Avenue,Property,27110,2.711000
A,3,1000000,10002433,27,Ventnor Avenue,Property,25937,2.593700
A,3,1000000,10002433,28,Water Works,Utility,27703,2.770300
A,3,1000000,10002433,29,Marvin Gardens,Property,24979,2.497900
A,3,1000000,10002433,30,Go to Jail,Go to Jail,0,0.000000
A,3,1000000,10002433,31,Pacific Avenue,Property,26010,2.601000
A,3,1000000,10002433,32,North Carolina Avenue,Property,26931,2.693100
A,3,1000000,10002433,33,Community Chest 3,Community Chest,23036,2.303600
A,3,1000000,10002433,34,Pennsylvania Avenue,Property,25680,2.568000
A,3,1000000,10002433,35,Short Line,Railroad,23349,2.334900
A,3,1000000,10002433,36,Chance 3,Chance,8360,0.836000
A,3,1000000,10002433,37,Park Place,Property,20927,2.092700
A,3,1000000,10002433,38,Luxury Tax,Tax,21749,2.174900
A,3,1000000,10002433,39,Boardwalk,Property,25113,2.511300
