strategy,run,turns,seed,index,square,type,count,percentage
B,2,1000000,20002432,0,GO,GO,28770,2.877000
B,2,1000000,20002432,1,Mediterranean Avenue,Property,18733,1.873300
B,2,1000000,20002432,2,Community Chest 1,Community Chest,17620,1.762000
B,2,1000000,20002432,3,Baltic Avenue,Property,19433,1.943300
B,2,1000000,20002432,4,Income Tax,Tax,21298,2.129800
B,2,1000000,20002432,5,Reading Railroad,Railroad,27329,2.732900
B,2,1000000,20002432,6,Oriental Avenue,Property,20874,2.087400
B,2,1000000,20002432,7,Chance 1,Chance,7905,0.790500
B,2,1000000,20002432,8,Vermont Avenue,Property,21760,2.176000
B,2,1000000,20002432,9,Connecticut Avenue,Property,21226,2.122600
B,2,1000000,20002432,10,Jail / Just Visiting,Jail,134622,13.462200
B,2,1000000,20002432,11,St. Charles Place,Property,24872,2.487200
B,2,1000000,20002432,12,Electric Company,Utility,25981,2.598100
B,2,1000000,20002432,13,States Avenue,Property,21472,2.147200
B,2,1000000,20002432,14,Virginia Avenue,Property,23879,2.387900
B,2,1000000,20002432,15,Pennsylvania Railroad,Railroad,25927,2.592700
B,2,1000000,20002432,16,St. James Place,Property,26808,2.680800
B,2,1000000,20002432,17,Community Chest 2,Community Chest,22824,2.282400
B,2,1000000,20002432,18,Tennessee Avenue,Property,28347,2.834700
B,2,1000000,20002432,19,New York Avenue,Property,28438,2.843800
B,2,1000000,20002432,20,Free Parking,Free Parking,28016,2.801600
B,2,1000000,20002432,21,Kentucky Avenue,Property,25642,2.564200
B,2,1000000,20002432,22,Chance 2,Chance,10197,1.019700
B,2,1000000,20002432,23,Indiana Avenue,Property,25063,2.506300
B,2,1000000,20002432,24,Illinois Avenue,Property,29588,2.958800
B,2,1000000,20002432,25,B. & O. Railroad,Railroad,28359,2.835900
B,2,1000000,20002432,26,Atlantic Avenue,Property,24781,2.478100
B,2,1000000,20002432,27,Ventnor Avenue,Property,24010,2.401000
B,2,1000000,20002432,28,Water Works,Utility,25611,2.561100
B,2,1000000,20002432,29,Marvin Gardens,Property,23167,2.316700
B,2,1000000,20002432,30,Go to Jail,Go to Jail,0,0.000000
B,2,1000000,20002432,31,Pacific Avenue,Property,24407,2.440700
B,2,1000000,20002432,32,North Carolina Avenue,Property,25108,2.510800
B,2,1000000,20002432,33,Community Chest 3,Community Chest,21356,2.135600
B,2,1000000,20002432,34,Pennsylvania Avenue,Property,23439,2.343900
B,2,1000000,20002432,35,Short Line,Railroad,21914,2.191400
B,2,1000000,20002432,36,Chance 3,Chance,7907,0.790700
B,2,1000000,20002432,37,Park Place,Property,19176,1.917600
B,2,1000000,20002432,38,Luxury Tax,Tax,20404,2.040400
B,2,1000000,20002432,39,Boardwalk,Property,23737,2.373700
