strategy,run,turns,seed,index,square,type,count,percentage
B,9,10000,10102439,0,GO,GO,278,2.780000
B,9,10000,10102439,1,Mediterranean Avenue,Property,186,1.860000
B,9,10000,10102439,2,Community Chest 1,Community Chest,175,1.750000
B,9,10000,10102439,3,Baltic Avenue,Property,191,1.910000
B,9,10000,10102439,4,Income Tax,Tax,211,2.110000
B,9,10000,10102439,5,Reading Railroad,Railroad,297,2.970000
B,9,10000,10102439,6,Oriental Avenue,Property,221,2.210000
B,9,10000,10102439,7,Chance 1,Chance,77,0.770000
B,9,10000,10102439,8,Vermont Avenue,Property,207,2.070000
B,9,10000,10102439,9,Connecticut Avenue,Property,219,2.190000
B,9,10000,10102439,10,Jail / Just Visiting,Jail,1349,13.490000
B,9,10000,10102439,11,St. Charles Place,Property,273,2.730000
B,9,10000,10102439,12,Electric Company,Utility,250,2.500000
B,9,10000,10102439,13,States Avenue,Property,214,2.140000
B,9,10000,10102439,14,Virginia Avenue,Property,228,2.280000
B,9,10000,10102439,15,Pennsylvania Railroad,Railroad,240,2.400000
B,9,10000,10102439,16,St. James Place,Property,281,2.810000
B,9,10000,10102439,17,Community Chest 2,Community Chest,226,2.260000
B,9,10000,10102439,18,Tennessee Avenue,Property,283,2.830000
B,9,10000,10102439,19,New York Avenue,Property,293,2.930000
B,9,10000,10102439,20,Free Parking,Free Parking,278,2.780000
B,9,10000,10102439,21,Kentucky Avenue,Property,254,2.540000
B,9,10000,10102439,22,Chance 2,Chance,90,0.900000
B,9,10000,10102439,23,Indiana Avenue,Property,240,2.400000
B,9,10000,10102439,24,Illinois Avenue,Property,309,3.090000
B,9,10000,10102439,25,B. & O. Railroad,Railroad,284,2.840000
B,9,10000,10102439,26,Atlantic Avenue,Property,237,2.370000
B,9,10000,10102439,27,Ventnor Avenue,Property,227,2.270000
B,9,10000,10102439,28,Water Works,Utility,250,2.500000
B,9,10000,10102439,29,Marvin Gardens,Property,230,2.300000
B,9,10000,10102439,30,Go to Jail,Go to Jail,0,0.000000
B,9,10000,10102439,31,Pacific Avenue,Property,245,2.450000
B,9,10000,10102439,32,North Carolina Avenue,Property,250,2.500000
B,9,10000,10102439,33,Community Chest 3,Community Chest,203,2.030000
B,9,10000,10102439,34,Pennsylvania Avenue,Property,240,2.400000
B,9,10000,10102439,35,Short Line,Railroad,227,2.270000
B,9,10000,10102439,36,Chance 3,Chance,77,0.770000
B,9,10000,10102439,37,Park Place,Property,205,2.050000
B,9,10000,10102439,38,Luxury Tax,Tax,218,2.180000
B,9,10000,10102439,39,Boardwalk,Property,237,2.370000
