strategy,run,turns,seed,index,square,type,count,percentage
B,9,100,10003439,0,GO,GO,1,1.000000
B,9,100,10003439,1,Mediterranean Avenue,Property,5,5.000000
B,9,100,10003439,2,Community Chest 1,Community Chest,0,0.000000
B,9,100,10003439,3,Baltic Avenue,Property,3,3.000000
B,9,100,10003439,4,Income Tax,Tax,2,2.000000
B,9,100,10003439,5,Reading Railroad,Railroad,3,3.000000
B,9,100,10003439,6,Oriental Avenue,Property,2,2.000000
B,9,100,10003439,7,Chance 1,Chance,1,1.000000
B,9,100,10003439,8,Vermont Avenue,Property,3,3.000000
B,9,100,10003439,9,Connecticut Avenue,Property,2,2.000000
B,9,100,10003439,10,Jail / Just Visiting,Jail,14,14.000000
B,9,100,10003439,11,St. Charles Place,Property,0,0.000000
B,9,100,10003439,12,Electric Company,Utility,2,2.000000
B,9,100,10003439,13,States Avenue,Property,5,5.000000
B,9,100,10003439,14,Virginia Avenue,Property,4,4.000000
B,9,100,10003439,15,Pennsylvania Railroad,Railroad,3,3.000000
B,9,100,10003439,16,St. James Place,Property,0,0.000000
B,9,100,10003439,17,Community Chest 2,Community Chest,1,1.000000
B,9,100,10003439,18,Tennessee Avenue,Property,5,5.000000
B,9,100,10003439,19,New York Avenue,Property,2,2.000000
B,9,100,10003439,20,Free Parking,Free Parking,1,1.000000
B,9,100,10003439,21,Kentucky Avenue,Property,3,3.000000
B,9,100,10003439,22,Chance 2,Chance,0,0.000000
B,9,100,10003439,23,Indiana Avenue,Property,2,2.000000
B,9,100,10003439,24,Illinois Avenue,Property,2,2.000000
B,9,100,10003439,25,B. & O. Railroad,Railroad,2,2.000000
B,9,100,10003439,26,Atlantic Avenue,Property,5,5.000000
B,9,100,10003439,27,Ventnor Avenue,Property,3,3.000000
B,9,100,10003439,28,Water Works,Utility,4,4.000000
B,9,100,10003439,29,Marvin Gardens,Property,0,0.000000
B,9,100,10003439,30,Go to Jail,Go to Jail,0,0.000000
B,9,100,10003439,31,Pacific Avenue,Property,1,1.000000
B,9,100,10003439,32,North Carolina Avenue,Property,5,5.000000
B,9,100,10003439,33,Community Chest 3,Community Chest,1,1.000000
B,9,100,10003439,34,Pennsylvania Avenue,Property,1,1.000000
B,9,100,10003439,35,Short Line,Railroad,6,6.000000
B,9,100,10003439,36,Chance 3,Chance,1,1.000000
B,9,100,10003439,37,Park Place,Property,2,2.000000
B,9,100,10003439,38,Luxury Tax,Tax,2,2.000000
B,9,100,10003439,39,Boardwalk,Property,1,1.000000
