strategy,run,turns,seed,index,square,type,count,percentage
A,7,100,3437,0,GO,GO,4,4.000000
A,7,100,3437,1,Mediterranean Avenue,Property,0,0.000000
A,7,100,3437,2,Community Chest 1,Community Chest,2,2.000000
A,7,100,3437,3,Baltic Avenue,Property,2,2.000000
A,7,100,3437,4,Income Tax,Tax,2,2.000000
A,7,100,3437,5,Reading Railroad,Railroad,3,3.000000
A,7,100,3437,6,Oriental Avenue,Property,4,4.000000
A,7,100,3437,7,Chance 1,Chance,2,2.000000
A,7,100,3437,8,Vermont Avenue,Property,4,4.000000
A,7,100,3437,9,Connecticut Avenue,Property,2,2.000000
A,7,100,3437,10,Jail / Just Visiting,Jail,4,4.000000
A,7,100,3437,11,St. Charles Place,Property,4,4.000000
A,7,100,3437,12,Electric Company,Utility,0,0.000000
A,7,100,3437,13,States Avenue,Property,4,4.000000
A,7,100,3437,14,Virginia Avenue,Property,0,0.000000
A,7,100,3437,15,Pennsylvania Railroad,Railroad,6,6.000000
A,7,100,3437,16,St. James Place,Property,4,4.000000
A,7,100,3437,17,Community Chest 2,Community Chest,0,0.000000
A,7,100,3437,18,Tennessee Avenue,Property,3,3.000000
A,7,100,3437,19,New York Avenue,Property,0,0.000000
A,7,100,3437,20,Free Parking,Free Parking,5,5.000000
A,7,100,3437,21,Kentucky Avenue,Property,7,7.000000
A,7,100,3437,22,Chance 2,Chance,2,2.000000
A,7,100,3437,23,Indiana Avenue,Property,2,2.000000
A,7,100,3437,24,Illinois Avenue,Property,2,2.000000
A,7,100,3437,25,B. & O. Railroad,Railroad,3,3.000000
A,7,100,3437,26,Atlantic Avenue,Property,3,3.000000
A,7,100,3437,27,Ventnor Avenue,Property,1,1.000000
A,7,100,3437,28,Water Works,Utility,0,0.000000
A,7,100,3437,29,Marvin Gardens,Property,3,3.000000
A,7,100,3437,30,Go to Jail,Go to Jail,0,0.000000
A,7,100,3437,31,Pacific Avenue,Property,4,4.000000
A,7,100,3437,32,North Carolina Avenue,Property,3,3.000000
A,7,100,3437,33,Community Chest 3,Community Chest,2,2.000000
A,7,100,3437,34,Pennsylvania Avenue,Property,1,1.000000
A,7,100,3437,35,Short Line,Railroad,4,4.000000
A,7,100,3437,36,Chance 3,Chance,0,0.000000
A,7,100,3437,37,Park Place,Property,2,2.000000
A,7,100,3437,38,Luxury Tax,Tax,3,3.000000
A,7,100,3437,39,Boardwalk,Property,3,3.000000
