strategy,run,turns,seed,index,square,type,count,percentage
B,8,1000,10012438,0,GO,GO,36,3.600000
B,8,1000,10012438,1,Mediterranean Avenue,Property,15,1.500000
B,8,1000,10012438,2,Community Chest 1,Community Chest,23,2.300000
B,8,1000,10012438,3,Baltic Avenue,Property,18,1.800000
B,8,1000,10012438,4,Income Tax,Tax,23,2.300000
B,8,1000,10012438,5,Reading Railroad,Railroad,23,2.300000
B,8,1000,10012438,6,Oriental Avenue,Property,21,2.100000
B,8,1000,10012438,7,Chance 1,Chance,8,0.800000
B,8,1000,10012438,8,Vermont Avenue,Property,21,2.100000
B,8,1000,10012438,9,Connecticut Avenue,Property,30,3.000000
B,8,1000,10012438,10,Jail / Just Visiting,Jail,135,13.500000
B,8,1000,10012438,11,St. Charles Place,Property,22,2.200000
B,8,1000,10012438,12,Electric Company,Utility,15,1.500000
B,8,1000,10012438,13,States Avenue,Property,26,2.600000
B,8,1000,10012438,14,Virginia Avenue,Property,30,3.000000
B,8,1000,10012438,15,Pennsylvania Railroad,Railroad,22,2.200000
B,8,1000,10012438,16,St. James Place,Property,31,3.100000
B,8,1000,10012438,17,Community Chest 2,Community Chest,22,2.200000
B,8,1000,10012438,18,Tennessee Avenue,Property,41,4.100000
B,8,1000,10012438,19,New York Avenue,Property,19,1.900000
B,8,1000,10012438,20,Free Parking,Free Parking,27,2.700000
B,8,1000,10012438,21,Kentucky Avenue,Property,25,2.500000
B,8,1000,10012438,22,Chance 2,Chance,11,1.100000
B,8,1000,10012438,23,Indiana Avenue,Property,22,2.200000
B,8,1000,10012438,24,Illinois Avenue,Property,30,3.000000
B,8,1000,10012438,25,B. & O. Railroad,Railroad,28,2.800000
B,8,1000,10012438,26,Atlantic Avenue,Property,25,2.500000
B,8,1000,10012438,27,Ventnor Avenue,Property,30,3.000000
B,8,1000,10012438,28,Water Works,Utility,26,2.600000
B,8,1000,10012438,29,Marvin Gardens,Property,21,2.100000
B,8,1000,10012438,30,Go to Jail,Go to Jail,0,0.000000
B,8,1000,10012438,31,Pacific Avenue,Property,31,3.100000
B,8,1000,10012438,32,North Carolina Avenue,Property,18,1.800000
B,8,1000,10012438,33,Community Chest 3,Community Chest,22,2.200000
B,8,1000,10012438,34,Pennsylvania Avenue,Property,16,1.600000
B,8,1000,10012438,35,Short Line,Railroad,28,2.800000
B,8,1000,10012438,36,Chance 3,Chance,3,0.300000
B,8,1000,10012438,37,Park Place,Property,19,1.900000
B,8,1000,10012438,38,Luxury Tax,Tax,18,1.800000
B,8,1000,10012438,39,Boardwalk,Property,19,1.900000
