strategy,run,turns,seed,index,square,type,count,percentage
A,9,100000,1002439,0,GO,GO,3157,3.157000
A,9,100000,1002439,1,Mediterranean Avenue,Property,2005,2.005000
A,9,100000,1002439,2,Community Chest 1,Community Chest,1883,1.883000
A,9,100000,1002439,3,Baltic Avenue,Property,2138,2.138000
A,9,100000,1002439,4,Income Tax,Tax,2350,2.350000
A,9,100000,1002439,5,Reading Railroad,Railroad,2909,2.909000
A,9,100000,1002439,6,Oriental Avenue,Property,2242,2.242000
A,9,100000,1002439,7,Chance 1,Chance,810,0.810000
A,9,100000,1002439,8,Vermont Avenue,Property,2268,2.268000
A,9,100000,1002439,9,Connecticut Avenue,Property,2281,2.281000
A,9,100000,1002439,10,Jail / Just Visiting,Jail,6945,6.945000
A,9,100000,1002439,11,St. Charles Place,Property,2806,2.806000
A,9,100000,1002439,12,Electric Company,Utility,2566,2.566000
A,9,100000,1002439,13,States Avenue,Property,2348,2.348000
A,9,100000,1002439,14,Virginia Avenue,Property,2409,2.409000
A,9,100000,1002439,15,Pennsylvania Railroad,Railroad,2874,2.874000
A,9,100000,1002439,16,St. James Place,Property,2744,2.744000
A,9,100000,1002439,17,Community Chest 2,Community Chest,2752,2.752000
A,9,100000,1002439,18,Tennessee Avenue,Property,2943,2.943000
A,9,100000,1002439,19,New York Avenue,Property,3293,3.293000
A,9,100000,1002439,20,Free Parking,Free Parking,2929,2.929000
A,9,100000,1002439,21,Kentucky Avenue,Property,2845,2.845000
A,9,100000,1002439,22,Chance 2,Chance,1002,1.002000
A,9,100000,1002439,23,Indiana Avenue,Property,2675,2.675000
A,9,100000,1002439,24,Illinois Avenue,Property,3200,3.200000
A,9,100000,1002439,25,B. & O. Railroad,Railroad,2986,2.986000
A,9,100000,1002439,26,Atlantic Avenue,Property,2743,2.743000
A,9,100000,1002439,27,Ventnor Avenue,Property,2612,2.612000
A,9,100000,1002439,28,Water Works,Utility,2803,2.803000
A,9,100000,1002439,29,Marvin Gardens,Property,2421,2.421000
A,9,100000,1002439,30,Go to Jail,Go to Jail,0,0.000000
A,9,100000,1002439,31,Pacific Avenue,Property,2638,2.638000
A,9,100000,1002439,32,North Carolina Avenue,Property,2585,2.585000
A,9,100000,1002439,33,Community Chest 3,Community Chest,2290,2.290000
A,9,100000,1002439,34,Pennsylvania Avenue,Property,2563,2.563000
A,9,100000,1002439,35,Short Line,Railroad,2383,2.383000
A,9,100000,1002439,36,Chance 3,Chance,857,0.857000
A,9,100000,1002439,37,Park Place,Property,2074,2.074000
A,9,100000,1002439,38,Luxury Tax,Tax,2152,2.152000
A,9,100000,1002439,39,Boardwalk,Property,2519,2.519000
