strategy,run,turns,seed,index,square,type,count,percentage
A,9,100,3439,0,GO,GO,3,3.000000
A,9,100,3439,1,Mediterranean Avenue,Property,2,2.000000
A,9,100,3439,2,Community Chest 1,Community Chest,1,1.000000
A,9,100,3439,3,Baltic Avenue,Property,1,1.000000
A,9,100,3439,4,Income Tax,Tax,2,2.000000
A,9,100,3439,5,Reading Railroad,Railroad,3,3.000000
A,9,100,3439,6,Oriental Avenue,Property,1,1.000000
A,9,100,3439,7,Chance 1,Chance,0,0.000000
A,9,100,3439,8,Vermont Avenue,Property,4,4.000000
A,9,100,3439,9,Connecticut Avenue,Property,0,0.000000
A,9,100,3439,10,Jail / Just Visiting,Jail,10,10.000000
A,9,100,3439,11,St. Charles Place,Property,1,1.000000
A,9,100,3439,12,Electric Company,Utility,3,3.000000
A,9,100,3439,13,States Avenue,Property,3,3.000000
A,9,100,3439,14,Virginia Avenue,Property,1,1.000000
A,9,100,3439,15,Pennsylvania Railroad,Railroad,4,4.000000
A,9,100,3439,16,St. James Place,Property,5,5.000000
A,9,100,3439,17,Community Chest 2,Community Chest,2,2.000000
A,9,100,3439,18,Tennessee Avenue,Property,5,5.000000
A,9,100,3439,19,New York Avenue,Property,3,3.000000
A,9,100,3439,20,Free Parking,Free Parking,3,3.000000
A,9,100,3439,21,Kentucky Avenue,Property,2,2.000000
A,9,100,3439,22,Chance 2,Chance,0,0.000000
A,9,100,3439,23,Indiana Avenue,Property,4,4.000000
A,9,100,3439,24,Illinois Avenue,Property,1,1.000000
A,9,100,3439,25,B. & O. Railroad,Railroad,3,3.000000
A,9,100,3439,26,Atlantic Avenue,Property,1,1.000000
A,9,100,3439,27,Ventnor Avenue,Property,5,5.000000
A,9,100,3439,28,Water Works,Utility,2,2.000000
A,9,100,3439,29,Marvin Gardens,Property,2,2.000000
A,9,100,3439,30,Go to Jail,Go to Jail,0,0.000000
A,9,100,3439,31,Pacific Avenue,Property,1,1.000000
A,9,100,3439,32,North Carolina Avenue,Property,4,4.000000
A,9,100,3439,33,Community Chest 3,Community Chest,2,2.000000
A,9,100,3439,34,Pennsylvania Avenue,Property,4,4.000000
A,9,100,3439,35,Short Line,Railroad,5,5.000000
A,9,100,3439,36,Chance 3,Chance,0,0.000000
A,9,100,3439,37,Park Place,Property,1,1.000000
A,9,100,3439,38,Luxury Tax,Tax,2,2.000000
A,9,100,3439,39,Boardwalk,Property,4,4.000000
