strategy,run,turns,seed,index,square,type,count,percentage
B,9,1000000,20002439,0,GO,GO,29098,2.909800
B,9,1000000,20002439,1,Mediterranean Avenue,Property,19011,1.901100
B,9,1000000,20002439,2,Community Chest 1,Community Chest,17637,1.763700
B,9,1000000,20002439,3,Baltic Avenue,Property,19529,1.952900
B,9,1000000,20002439,4,Income Tax,Tax,21145,2.114500
B,9,1000000,20002439,5,Reading Railroad,Railroad,27025,2.702500
B,9,1000000,20002439,6,Oriental Avenue,Property,20699,2.069900
B,9,1000000,20002439,7,Chance 1,Chance,7862,0.786200
B,9,1000000,20002439,8,Vermont Avenue,Property,21646,2.164600
B,9,1000000,20002439,9,Connecticut Avenue,Property,21547,2.154700
B,9,1000000,20002439,10,Jail / Just Visiting,Jail,134688,13.468800
B,9,1000000,20002439,11,St. Charles Place,Property,24876,2.487600
B,9,1000000,20002439,12,Electric Company,Utility,25591,2.559100
B,9,1000000,20002439,13,States Avenue,Property,21192,2.119200
B,9,1000000,20002439,14,Virginia Avenue,Property,24354,2.435400
B,9,1000000,20002439,15,Pennsylvania Railroad,Railroad,26082,2.608200
B,9,1000000,20002439,16,St. James Place,Property,26737,2.673700
B,9,1000000,20002439,17,Community Chest 2,Community Chest,22870,2.287000
B,9,1000000,20002439,18,Tennessee Avenue,Property,28160,2.816000
B,9,1000000,20002439,19,New York Avenue,Property,28278,2.827800
B,9,1000000,20002439,20,Free Parking,Free Parking,28187,2.818700
B,9,1000000,20002439,21,Kentucky Avenue,Property,25672,2.567200
B,9,1000000,20002439,22,Chance 2,Chance,10178,1.017800
B,9,1000000,20002439,23,Indiana Avenue,Property,24891,2.489100
B,9,1000000,20002439,24,Illinois Avenue,Property,29427,2.942700
B,9,1000000,20002439,25,B. & O. Railroad,Railroad,28419,2.841900
B,9,1000000,20002439,26,Atlantic Avenue,Property,24997,2.499700
B,9,1000000,20002439,27,Ventnor Avenue,Property,24140,2.414000
B,9,1000000,20002439,28,Water Works,Utility,25930,2.593000
B,9,1000000,20002439,29,Marvin Gardens,Property,22924,2.292400
B,9,1000000,20002439,30,Go to Jail,Go to Jail,0,0.000000
B,9,1000000,20002439,31,Pacific Avenue,Property,24355,2.435500
B,9,1000000,20002439,32,North Carolina Avenue,Property,25137,2.513700
B,9,1000000,20002439,33,Community Chest 3,Community Chest,21472,2.147200
B,9,1000000,20002439,34,Pennsylvania Avenue,Property,23682,2.368200
B,9,1000000,20002439,35,Short Line,Railroad,21738,2.173800
B,9,1000000,20002439,36,Chance 3,Chance,7856,0.785600
B,9,1000000,20002439,37,Park Place,Property,19171,1.917100
B,9,1000000,20002439,38,Luxury Tax,Tax,20176,2.017600
B,9,1000000,20002439,39,Boardwalk,Property,23621,2.362100
