strategy,run,turns,seed,index,square,type,count,percentage
B,6,100,10003436,0,GO,GO,4,4.000000
B,6,100,10003436,1,Mediterranean Avenue,Property,0,0.000000
B,6,100,10003436,2,Community Chest 1,Community Chest,4,4.000000
B,6,100,10003436,3,Baltic Avenue,Property,3,3.000000
B,6,100,10003436,4,Income Tax,Tax,0,0.000000
B,6,100,10003436,5,Reading Railroad,Railroad,5,5.000000
B,6,100,10003436,6,Oriental Avenue,Property,3,3.000000
B,6,100,10003436,7,Chance 1,Chance,2,2.000000
B,6,100,10003436,8,Vermont Avenue,Property,0,0.000000
B,6,100,10003436,9,Connecticut Avenue,Property,4,4.000000
B,6,100,10003436,10,Jail / Just Visiting,Jail,5,5.000000
B,6,100,10003436,11,St. Charles Place,Property,4,4.000000
B,6,100,10003436,12,Electric Company,Utility,3,3.000000
B,6,100,10003436,13,States Avenue,Property,2,2.000000
B,6,100,10003436,14,Virginia Avenue,Property,3,3.000000
B,6,100,10003436,15,Pennsylvania Railroad,Railroad,1,1.000000
B,6,100,10003436,16,St. James Place,Property,2,2.000000
B,6,100,10003436,17,Community Chest 2,Community Chest,0,0.000000
B,6,100,10003436,18,Tennessee Avenue,Property,4,4.000000
B,6,100,10003436,19,New York Avenue,Property,4,4.000000
B,6,100,10003436,20,Free Parking,Free Parking,3,3.000000
B,6,100,10003436,21,Kentucky Avenue,Property,3,3.000000
B,6,100,10003436,22,Chance 2,Chance,1,1.000000
B,6,100,10003436,23,Indiana Avenue,Property,3,3.000000
B,6,100,10003436,24,Illinois Avenue,Property,3,3.000000
B,6,100,10003436,25,B. & O. Railroad,Railroad,2,2.000000
B,6,100,10003436,26,Atlantic Avenue,Property,3,3.000000
B,6,100,10003436,27,Ventnor Avenue,Property,1,1.000000
B,6,100,10003436,28,Water Works,Utility,8,8.000000
B,6,100,10003436,29,Marvin Gardens,Property,1,1.000000
B,6,100,10003436,30,Go to Jail,Go to Jail,0,0.000000
B,6,100,10003436,31,Pacific Avenue,Property,4,4.000000
B,6,100,10003436,32,North Carolina Avenue,Property,4,4.000000
B,6,100,10003436,33,Community Chest 3,Community Chest,2,2.000000
B,6,100,10003436,34,Pennsylvania Avenue,Property,3,3.000000
B,6,100,10003436,35,Short Line,Railroad,1,1.000000
B,6,100,10003436,36,Chance 3,Chance,1,1.000000
B,6,100,10003436,37,Park Place,Property,1,1.000000
B,6,100,10003436,38,Luxury Tax,Tax,1,1.000000
B,6,100,10003436,39,Boardwalk,Property,2,2.000000
