strategy,run,turns,seed,index,square,type,count,percentage
A,6,1000000,10002436,0,GO,GO,31682,3.168200
A,6,1000000,10002436,1,Mediterranean Avenue,Property,20259,2.025900
A,6,1000000,10002436,2,Community Chest 1,Community Chest,18910,1.891000
A,6,1000000,10002436,3,Baltic Avenue,Property,20976,2.097600
A,6,1000000,10002436,4,Income Tax,Tax,22805,2.280500
A,6,1000000,10002436,5,Reading Railroad,Railroad,29005,2.900500
A,6,1000000,10002436,6,Oriental Avenue,Property,22500,2.250000
A,6,1000000,10002436,7,Chance 1,Chance,8306,0.830600
A,6,1000000,10002436,8,Vermont Avenue,Property,23330,2.333000
A,6,1000000,10002436,9,Connecticut Avenue,Property,22831,2.283100
A,6,1000000,10002436,10,Jail / Just Visiting,Jail,68817,6.881700
A,6,1000000,10002436,11,St. Charles Place,Property,26745,2.674500
A,6,1000000,10002436,12,Electric Company,Utility,25670,2.567000
A,6,1000000,10002436,13,States Avenue,Property,23622,2.362200
A,6,1000000,10002436,14,Virginia Avenue,Property,24766,2.476600
A,6,1000000,10002436,15,Pennsylvania Railroad,Railroad,29708,2.970800
A,6,1000000,10002436,16,St. James Place,Property,28392,2.839200
A,6,1000000,10002436,17,Community Chest 2,Community Chest,26648,2.664800
A,6,1000000,10002436,18,Tennessee Avenue,Property,30075,3.007500
A,6,1000000,10002436,19,New York Avenue,Property,31428,3.142800
A,6,1000000,10002436,20,Free Parking,Free Parking,29162,2.916200
A,6,1000000,10002436,21,Kentucky Avenue,Property,28061,2.806100
A,6,1000000,10002436,22,Chance 2,Chance,10180,1.018000
A,6,1000000,10002436,23,Indiana Avenue,Property,26864,2.686400
A,6,1000000,10002436,24,Illinois Avenue,Property,32035,3.203500
A,6,1000000,10002436,25,B. & O. Railroad,Railroad,29892,2.989200
A,6,1000000,10002436,26,Atlantic Avenue,Property,27008,2.700800
A,6,1000000,10002436,27,Ventnor Avenue,Property,26192,2.619200
A,6,1000000,10002436,28,Water Works,Utility,27908,2.790800
A,6,1000000,10002436,29,Marvin Gardens,Property,24588,2.458800
A,6,1000000,10002436,30,Go to Jail,Go to Jail,0,0.000000
A,6,1000000,10002436,31,Pacific Avenue,Property,26144,2.614400
A,6,1000000,10002436,32,North Carolina Avenue,Property,26937,2.693700
A,6,1000000,10002436,33,Community Chest 3,Community Chest,23003,2.300300
A,6,1000000,10002436,34,Pennsylvania Avenue,Property,25636,2.563600
A,6,1000000,10002436,35,Short Line,Railroad,23420,2.342000
A,6,1000000,10002436,36,Chance 3,Chance,8595,0.859500
A,6,1000000,10002436,37,Park Place,Property,20739,2.073900
A,6,1000000,10002436,38,Luxury Tax,Tax,21900,2.190000
A,6,1000000,10002436,39,Boardwalk,Property,25261,2.526100
