strategy,run,turns,seed,index,square,type,count,percentage
B,10,100,10003440,0,GO,GO,5,5.000000
B,10,100,10003440,1,Mediterranean Avenue,Property,2,2.000000
B,10,100,10003440,2,Community Chest 1,Community Chest,4,4.000000
B,10,100,10003440,3,Baltic Avenue,Property,2,2.000000
B,10,100,10003440,4,Income Tax,Tax,1,1.000000
B,10,100,10003440,5,Reading Railroad,Railroad,5,5.000000
B,10,100,10003440,6,Oriental Avenue,Property,2,2.000000
B,10,100,10003440,7,Chance 1,Chance,1,1.000000
B,10,100,10003440,8,Vermont Avenue,Property,4,4.000000
B,10,100,10003440,9,Connecticut Avenue,Property,2,2.000000
B,10,100,10003440,10,Jail / Just Visiting,Jail,4,4.000000
B,10,100,10003440,11,St. Charles Place,Property,5,5.000000
B,10,100,10003440,12,Electric Company,Utility,2,2.000000
B,10,100,10003440,13,States Avenue,Property,4,4.000000
B,10,100,10003440,14,Virginia Avenue,Property,2,2.000000
B,10,100,10003440,15,Pennsylvania Railroad,Railroad,3,3.000000
B,10,100,10003440,16,St. James Place,Property,1,1.000000
B,10,100,10003440,17,Community Chest 2,Community Chest,0,0.000000
B,10,100,10003440,18,Tennessee Avenue,Property,0,0.000000
B,10,100,10003440,19,New York Avenue,Property,6,6.000000
B,10,100,10003440,20,Free Parking,Free Parking,3,3.000000
B,10,100,10003440,21,Kentucky Avenue,Property,3,3.000000
B,10,100,10003440,22,Chance 2,Chance,0,0.000000
B,10,100,10003440,23,Indiana Avenue,Property,1,1.000000
B,10,100,10003440,24,Illinois Avenue,Property,2,2.000000
B,10,100,10003440,25,B. & O. Railroad,Railroad,2,2.000000
B,10,100,10003440,26,Atlantic Avenue,Property,2,2.000000
B,10,100,10003440,27,Ventnor Avenue,Property,3,3.000000
B,10,100,10003440,28,Water Works,Utility,5,5.000000
B,10,100,10003440,29,Marvin Gardens,Property,3,3.000000
B,10,100,10003440,30,Go to Jail,Go to Jail,0,0.000000
B,10,100,10003440,31,Pacific Avenue,Property,2,2.000000
B,10,100,10003440,32,North Carolina Avenue,Property,2,2.000000
B,10,100,10003440,33,Community Chest 3,Community Chest,4,4.000000
B,10,100,10003440,34,Pennsylvania Avenue,Property,4,4.000000
B,10,100,10003440,35,Short Line,Railroad,1,1.000000
B,10,100,10003440,36,Chance 3,Chance,1,1.000000
B,10,100,10003440,37,Park Place,Property,1,1.000000
B,10,100,10003440,38,Luxury Tax,Tax,1,1.000000
B,10,100,10003440,39,Boardwalk,Property,5,5.000000
