strategy,run,turns,seed,index,square,type,count,percentage
B,4,10000,10102434,0,GO,GO,263,2.630000
B,4,10000,10102434,1,Mediterranean Avenue,Property,199,1.990000
B,4,10000,10102434,2,Community Chest 1,Community Chest,169,1.690000
B,4,10000,10102434,3,Baltic Avenue,Property,181,1.810000
B,4,10000,10102434,4,Income Tax,Tax,201,2.010000
B,4,10000,10102434,5,Reading Railroad,Railroad,269,2.690000
B,4,10000,10102434,6,Oriental Avenue,Property,211,2.110000
B,4,10000,10102434,7,Chance 1,Chance,62,0.620000
B,4,10000,10102434,8,Vermont Avenue,Property,199,1.990000
B,4,10000,10102434,9,Connecticut Avenue,Property,217,2.170000
B,4,10000,10102434,10,Jail / Just Visiting,Jail,1445,14.450000
B,4,10000,10102434,11,St. Charles Place,Property,255,2.550000
B,4,10000,10102434,12,Electric Company,Utility,256,2.560000
B,4,10000,10102434,13,States Avenue,Property,219,2.190000
B,4,10000,10102434,14,Virginia Avenue,Property,216,2.160000
B,4,10000,10102434,15,Pennsylvania Railroad,Railroad,255,2.550000
B,4,10000,10102434,16,St. James Place,Property,298,2.980000
B,4,10000,10102434,17,Community Chest 2,Community Chest,214,2.140000
B,4,10000,10102434,18,Tennessee Avenue,Property,312,3.120000
B,4,10000,10102434,19,New York Avenue,Property,280,2.800000
B,4,10000,10102434,20,Free Parking,Free Parking,268,2.680000
B,4,10000,10102434,21,Kentucky Avenue,Property,294,2.940000
B,4,10000,10102434,22,Chance 2,Chance,106,1.060000
B,4,10000,10102434,23,Indiana Avenue,Property,257,2.570000
B,4,10000,10102434,24,Illinois Avenue,Property,286,2.860000
B,4,10000,10102434,25,B. & O. Railroad,Railroad,268,2.680000
B,4,10000,10102434,26,Atlantic Avenue,Property,237,2.370000
B,4,10000,10102434,27,Ventnor Avenue,Property,222,2.220000
B,4,10000,10102434,28,Water Works,Utility,263,2.630000
B,4,10000,10102434,29,Marvin Gardens,Property,219,2.190000
B,4,10000,10102434,30,Go to Jail,Go to Jail,0,0.000000
B,4,10000,10102434,31,Pacific Avenue,Property,253,2.530000
B,4,10000,10102434,32,North Carolina Avenue,Property,245,2.450000
B,4,10000,10102434,33,Community Chest 3,Community Chest,193,1.930000
B,4,10000,10102434,34,Pennsylvania Avenue,Property,235,2.350000
B,4,10000,10102434,35,Short Line,Railroad,227,2.270000
B,4,10000,10102434,36,Chance 3,Chance,77,0.770000
B,4,10000,10102434,37,Park Place,Property,163,1.630000
B,4,10000,10102434,38,Luxury Tax,Tax,219,2.190000
B,4,10000,10102434,39,Boardwalk,Property,247,2.470000
